Start time: 55867
Current target function: 55128
Current target function: 53825
Current target function: 53778
Current target function: 53738
Current target function: 53615
Current target function: 53446
Current target function: 53446
Current target function: 53446
Current target function: 53355
Current target function: 53319
Current target function: 53228
Current target function: 53139
Current target function: 53111
Current target function: 53110
Current target function: 53106
Current target function: 53034
Current target function: 53032
Current target function: 52843
Current target function: 52803
Current target function: 52803
Current target function: 52786
Current target function: 52786
Current target function: 52786
Current target function: 52786
Current target function: 52786
Current target function: 52756
Current target function: 52756
Current target function: 52754
Current target function: 52754
Current target function: 52754
Current target function: 52754
Current target function: 52754
Current target function: 52739
Current target function: 52739
Current target function: 52731
Current target function: 52731
Current target function: 52731
Current target function: 52731
Current target function: 52718
Current target function: 52718
Current target function: 52718
Current target function: 52683
Current target function: 52632
Current target function: 52613
Current target function: 52613
Current target function: 52613
Current target function: 52603
Current target function: 52603
Current target function: 52603
Current target function: 52585
Current target function: 52585
Current target function: 52579
Current target function: 52579
Current target function: 52564
Current target function: 52564
Current target function: 52564
Current target function: 52564
Current target function: 52564
Current target function: 52544
Current target function: 52544
Current target function: 52544
Current target function: 52544
Current target function: 52544
Current target function: 52544
Result!
Result time: 52544
Computation time: 59.768
